City ID,City,Country,Date,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed
66,Durban,ZA,2022-04-04 02:24:38,-29.8579,31.0292,72.01,92,100,1.99
67,Luderitz,NA,2022-04-04 02:27:56,-26.6481,15.1594,58.06,87,0,4.25
68,Maur,IN,2022-04-04 02:27:56,30.0833,75.25,74.93,10,1,4.5
69,Jalu,LY,2022-04-04 02:23:53,29.0331,21.5482,71.87,16,5,12.24
70,Rocha,UY,2022-04-04 02:27:57,-34.4833,-54.3333,62.38,96,7,6.76
71,Speightstown,BB,2022-04-04 02:27:57,13.25,-59.65,79.41,74,92,17.47
72,Bambous Virieux,MU,2022-04-04 02:21:34,-20.3428,57.7575,79.21,83,75,11.5
73,Belfast,GB,2022-04-04 02:27:57,54.5833,-5.9333,51.62,87,75,14.97
74,Itaituba,BR,2022-04-04 02:27:58,-4.2761,-55.9836,73.22,98,91,1.59
75,Baixa Grande,BR,2022-04-04 02:27:58,-11.9597,-40.1681,69.82,89,42,5.26
76,Saldanha,ZA,2022-04-04 02:21:46,-33.0117,17.9442,59.05,93,0,10.49
77,Tazovskiy,RU,2022-04-04 02:21:42,67.4667,78.7,5.86,97,100,11.3
78,Mazagao,BR,2022-04-04 02:27:58,-0.115,-51.2894,77.05,96,100,3.74
79,Stokmarknes,NO,2022-04-04 02:27:59,68.5646,14.9108,26.58,50,2,10.36
80,Hofn,IS,2022-04-04 02:23:59,64.2539,-15.2082,32.88,83,100,15.86
81,Clyde River,CA,2022-04-04 02:21:43,70.4692,-68.5914,10.63,92,100,6.91
82,Jamestown,US,2022-04-04 02:21:36,42.097,-79.2353,35.19,70,100,12.66
83,Manyana,BW,2022-04-04 02:27:59,-23.4,21.7167,64.06,86,90,6.73
84,Salalah,OM,2022-04-04 02:19:33,17.0151,54.0924,73.49,68,0,3.44
85,Olinda,BR,2022-04-04 02:23:10,-8.0089,-34.8553,83.93,70,75,8.05
86,Znamenskoye,RU,2022-04-04 02:28:00,57.1281,73.8282,35.19,100,100,10.8
87,Thinadhoo,MV,2022-04-04 02:23:41,0.5333,72.9333,82.72,64,3,1.7
88,Matadi,CD,2022-04-04 02:28:00,-5.8167,13.45,75.56,95,99,1.52
89,Dolores,AR,2022-04-04 02:28:00,-36.3132,-57.6792,51.96,71,0,7.25
90,Karaton,ID,2022-04-04 02:23:35,-6.3424,106.1045,83.61,67,52,4.45
91,Leh,IN,2022-04-04 02:23:46,34.1667,77.5833,25.83,68,81,4.32
92,Floro,NO,2022-04-04 02:28:01,61.5996,5.0328,35.24,100,100,9.22
93,Bredasdorp,ZA,2022-04-04 02:21:48,-34.5322,20.0403,58.48,92,22,3.4
94,Piedade,BR,2022-04-04 02:28:01,-23.7119,-47.4278,65.21,97,55,4.88
95,Narsaq,GL,2022-04-04 02:22:25,60.9167,-46.05,41.22,84,36,6.26
96,San Carlos De Bariloche,AR,2022-04-04 02:19:38,-41.1456,-71.3082,42.55,65,40,14.97
97,Abha,SA,2022-04-04 02:28:02,18.2164,42.5053,58.82,33,0,0.0
98,Burgas,BG,2022-04-04 02:28:02,42.5061,27.4678,42.91,68,46,10.36
99,Grindavik,IS,2022-04-04 02:28:03,63.8424,-22.4338,37.35,87,75,14.97
100,Acari,PE,2022-04-04 02:28:03,-15.4311,-74.6158,72.32,77,13,4.07
101,Jizan,SA,2022-04-04 02:28:03,17.3333,42.6667,77.94,51,100,3.0
102,Ribeira Grande,PT,2022-04-04 02:21:54,38.5167,-28.7,59.9,76,100,15.77
103,Saint-Esteve,FR,2022-04-04 02:28:04,42.7131,2.843,39.7,62,0,13.8
104,Basqal,AZ,2022-04-04 02:28:04,40.7552,48.391,56.23,27,8,9.8
105,Arraial Do Cabo,BR,2022-04-04 02:21:33,-22.9661,-42.0278,76.33,87,3,2.91
106,Albany,US,2022-04-04 02:21:12,42.6001,-73.9662,38.17,90,100,5.01
107,Usinsk,RU,2022-04-04 02:23:56,65.9939,57.5281,19.22,82,100,13.42
108,Zaysan,KZ,2022-04-04 02:28:05,47.4667,84.8667,45.19,53,0,3.13
109,Rawson,AR,2022-04-04 02:18:47,-43.3002,-65.1023,57.92,40,6,18.86
110,Sinnamary,GF,2022-04-04 02:22:56,5.3833,-52.95,77.29,89,100,11.16
111,Moura,PT,2022-04-04 02:28:06,38.1401,-7.4486,48.31,39,94,14.61
112,Jalingo,NG,2022-04-04 02:28:06,8.8833,11.3667,81.72,44,100,4.85
113,Sao Filipe,CV,2022-04-04 02:21:49,14.8961,-24.4956,70.54,74,4,6.96
114,Matara,LK,2022-04-04 02:23:04,5.9485,80.5353,79.38,82,69,3.11
115,Huarmey,PE,2022-04-04 02:24:03,-10.0681,-78.1522,69.71,85,91,8.66
116,Garmsar,IR,2022-04-04 02:28:07,35.2182,52.3409,67.87,21,0,3.38
117,Richards Bay,ZA,2022-04-04 02:23:09,-28.783,32.0377,75.61,82,98,12.35
118,Piacabucu,BR,2022-04-04 02:22:24,-10.4056,-36.4344,77.88,76,6,7.7
119,Hamilton,US,2022-04-04 02:22:50,39.1834,-84.5333,48.99,63,0,8.05
120,Loubomo,CG,2022-04-04 02:28:08,-4.1997,12.6739,72.14,98,100,1.81
121,Bilma,NE,2022-04-04 02:27:07,18.6853,12.9164,82.27,6,2,4.81
122,Ginir,ET,2022-04-04 02:28:08,7.1333,40.7,56.98,62,96,5.3
123,Los Llanos De Aridane,ES,2022-04-04 02:22:45,28.6585,-17.9182,55.15,77,0,4.61
124,Victoria,HK,2022-04-04 02:17:57,22.2855,114.1577,72.25,42,0,8.01
125,Gao,ML,2022-04-04 02:28:09,16.6362,1.637,83.26,4,46,7.9
126,Rio Verde De Mato Grosso,BR,2022-04-04 02:27:01,-18.9181,-54.8442,75.87,78,0,3.56
127,Luanda,AO,2022-04-04 02:20:04,-8.8368,13.2343,75.2,94,75,2.3
128,Ponta Delgada,PT,2022-04-04 02:22:40,37.7333,-25.6667,56.12,71,20,8.05
129,Los Andes,CL,2022-04-04 02:28:09,-32.8337,-70.5983,60.01,50,0,1.01
130,Mandera,KE,2022-04-04 02:28:10,3.9366,41.867,81.48,63,76,12.17
131,Severnyy,RU,2022-04-04 02:23:49,50.677,36.5532,30.24,100,75,6.71
132,Raudeberg,NO,2022-04-04 02:28:10,61.9875,5.1352,32.86,95,100,12.53
133,Henderson,US,2022-04-04 02:25:19,36.0397,-114.9819,77.92,21,0,4.61
134,Sambava,MG,2022-04-04 02:28:11,-14.2667,50.1667,75.49,86,100,5.26
135,Umba,RU,2022-04-04 02:28:11,66.6871,34.3429,21.72,94,100,11.54
