City ID,City,Country,Max_Temp,Weather description,Lat,Lng,Hotel Name
259,Jaltenango,MX,96.28,scattered clouds,15.8719,-92.7247,Finca Jaltenango Hotel Boutique
261,Acapulco,MX,84.42,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
265,Cap Malheureux,MU,79.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
267,Kloulklubed,PW,83.07,light rain,7.0419,134.2556,Storyboard Beach Resort
269,Natal,BR,88.02,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
273,Nortelandia,BR,90.12,clear sky,-14.4547,-56.8028,Hotel Karysmã
276,Arica,CL,80.15,few clouds,-18.475,-70.3042,Hostal Jardin Del Sol
283,Cantagalo,BR,81.54,scattered clouds,-21.9811,-42.3681,Pousada Recanto do Sabiá
289,Sarangani,PH,80.65,light rain,5.4033,125.4636,Ballistic Islet
290,Muli,MV,83.46,clear sky,2.9167,73.5667,Medhufushi Island Resort
294,Puerto Escondido,MX,86.94,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
299,Mapastepec,MX,94.35,few clouds,15.4333,-92.9,Hotel San Carlos
300,Biltine,TD,90.63,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
303,Nava,MX,81.99,overcast clouds,28.4167,-100.7667,Amor
304,Alta Floresta,BR,89.42,thunderstorm,-9.8756,-56.0861,Floresta Amazonica Hotel
306,Vaitape,PF,82.8,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
308,Puerto Ayacucho,VE,89.55,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
311,Buala,SB,81.25,light rain,-8.145,159.5921,Maringe Lagoon Lodge
316,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
321,Kattivakkam,IN,84.29,clear sky,13.2167,80.3167,Euronova Freezer
322,Auki,SB,78.22,light rain,-8.7676,160.7034,Auki Motel
323,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
326,Lorengau,PG,82.17,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
332,Karratha,AU,82.29,clear sky,-20.7377,116.8463,ibis Styles Karratha
337,Braganca,BR,78.13,light rain,-1.0536,-46.7656,Marujo's Suíte Hotel
341,Tonj,SS,86.27,scattered clouds,7.2737,28.6822,Lakan Hotel
342,Villa Del Rosario,CO,86.38,scattered clouds,7.8339,-72.4742,Hotel Villas de San Diego
345,Kpandae,GH,92.66,overcast clouds,8.4689,-0.0113,S. Amaski Guest House
350,Hobyo,SO,81.75,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
351,Toma,BF,96.4,overcast clouds,12.7667,-2.8833,Auberge de l'amitié
359,Trincomalee,LK,80.76,clear sky,8.5711,81.2335,Welcombe Hotel
361,Ipixuna,BR,82.11,moderate rain,-1.7625,-48.8043,Chalé do Mato
366,Umarkot,PK,83.35,broken clouds,25.3616,69.7362,Al-Qamar Boys Hostel
375,Ciudad Guayana,VE,93.65,overcast clouds,8.3533,-62.6528,Hotel Las Americas
382,Bakel,SN,93.18,few clouds,14.905,-12.4568,Ablaye Diallo Bakel
384,Linaon,PH,81.41,light rain,9.9499,122.4483,Emoha Dive Resort
385,Sao Francisco Do Sul,BR,78.71,thunderstorm with light rain,-26.2433,-48.6381,Hotel Kontiki
386,Jampur,PK,85.15,overcast clouds,29.6441,70.5954,Qrzi Sultan
387,Bull Savanna,JM,83.19,clear sky,17.8868,-77.5902,Big Red's
393,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
395,Castanos,MX,88.34,clear sky,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
396,Kavieng,PG,81.61,moderate rain,-2.5744,150.7967,Nusa Island Retreat
399,Luwuk,ID,77.29,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
400,Touros,BR,83.61,few clouds,-5.1989,-35.4608,INN NEW HORIZON
405,Sakakah,SA,81.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
407,Monrovia,LR,83.97,overcast clouds,6.3005,-10.7969,Sunset Inn
412,Mattru,SL,80.26,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
415,Trairi,BR,81.88,overcast clouds,-3.2778,-39.2689,janelas do mar
416,Puerto Baquerizo Moreno,EC,81.59,broken clouds,-0.9,-89.6,Hotel los Algarrobos
418,Fare,PF,82.89,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
436,Gigmoto,PH,79.66,light rain,13.7796,124.39,Cj's Travellers Inn
442,Vilhena,BR,82.62,thunderstorm,-12.7406,-60.1458,Hotel Mirage
443,Alto Araguaia,BR,84.2,clear sky,-17.3147,-53.2153,Araguaia Palace Hotel
445,Sabha,LY,86.76,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
