City ID,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Country,Weather description
79,Georgetown,5.4112,100.3354,80.53,92,40,8.05,MY,scattered clouds
80,Busselton,-33.65,115.3333,52.74,81,0,9.24,AU,clear sky
81,Katsuura,35.1333,140.3,49.91,90,100,26.55,JP,overcast clouds
82,Mitsamiouli,-11.3847,43.2844,82.08,73,5,2.26,KM,clear sky
83,Cabedelo,-6.9811,-34.8339,86.67,66,3,13.15,BR,clear sky
84,New Norfolk,-42.7826,147.0587,54.9,80,100,1.01,AU,overcast clouds
85,Qaqortoq,60.7167,-46.0333,40.77,71,100,2.17,GL,overcast clouds
86,Cape Town,-33.9258,18.4232,63.88,86,20,10.36,ZA,few clouds
87,Longyearbyen,78.2186,15.6401,10.24,56,7,23.02,SJ,clear sky
88,Saint-Philippe,-21.3585,55.7679,76.59,86,100,13.71,RE,overcast clouds
89,Yellowknife,62.456,-114.3525,37.42,60,75,11.5,CA,broken clouds
90,Illapel,-31.6308,-71.1653,80.17,31,0,8.23,CL,clear sky
91,Sasciori,45.8667,23.5833,37.54,69,1,4.36,RO,clear sky
92,Upernavik,72.7868,-56.1549,28.6,76,100,4.16,GL,overcast clouds
93,Pisco,-13.7,-76.2167,70.02,73,0,11.5,PE,clear sky
94,Urengoy,65.9667,78.3667,28.78,96,100,18.16,RU,light snow
95,Bandar-E Lengeh,26.5579,54.8807,77.11,57,2,6.91,IR,haze
96,Port Hedland,-20.3167,118.5667,78.85,89,0,6.91,AU,clear sky
97,Kuching,1.55,110.3333,77.22,94,40,2.3,MY,light rain
98,Del Rio,29.3627,-100.8968,77.4,65,100,13.8,US,overcast clouds
99,Dutse,11.7594,9.3392,87.66,7,12,6.85,NG,few clouds
100,Faanui,-16.4833,-151.75,82.8,70,31,18.68,PF,scattered clouds
101,Kieta,-6.2167,155.6333,79.79,85,100,2.89,PG,overcast clouds
102,Aloleng,16.1307,119.7824,79.48,68,14,10.33,PH,few clouds
103,Thompson,55.7435,-97.8558,39.36,48,20,9.22,CA,few clouds
104,Kokopo,-4.352,152.2633,77.34,84,96,4.12,PG,light rain
105,Lebu,-37.6167,-73.65,58.46,71,73,18.07,CL,broken clouds
106,Nikolskoye,59.7035,30.7861,37.8,72,100,12.53,RU,overcast clouds
107,Zapolyarnyy,69.4154,30.8136,18.68,100,93,5.82,RU,overcast clouds
108,Altamont,42.2068,-121.7372,45.77,90,100,14.0,US,light rain
109,Adrar,20.5022,-10.0711,83.34,18,0,8.7,MR,clear sky
110,Zorritos,-3.6805,-80.6782,82.69,72,52,11.88,PE,broken clouds
111,Kimbe,-5.5502,150.1429,76.12,94,100,1.12,PG,light rain
112,Forio,40.7342,13.8646,53.89,78,100,7.0,IT,overcast clouds
113,Shimoda,34.6667,138.95,45.1,81,9,10.25,JP,clear sky
114,Meylan,45.2199,5.7901,40.44,87,32,1.97,FR,scattered clouds
115,Berlevag,70.8578,29.0864,19.2,68,98,10.96,NO,light snow
116,Cherskiy,68.75,161.3,-22.85,99,71,1.86,RU,broken clouds
117,Nouadhibou,20.931,-17.0347,69.78,78,20,12.66,MR,few clouds
118,Macduff,57.6701,-2.4969,42.22,82,100,15.97,GB,light rain
119,Poronaysk,49.2167,143.1167,32.27,91,78,5.19,RU,broken clouds
120,Marsaxlokk,35.8419,14.5431,58.08,88,75,16.11,MT,broken clouds
121,Kruisfontein,-34.0033,24.7314,62.89,81,0,14.43,ZA,clear sky
122,Abonnema,4.7084,6.7931,81.48,78,100,6.71,NG,overcast clouds
123,Churapcha,62.0025,132.4325,3.76,99,99,4.52,RU,overcast clouds
124,Mabaruma,8.2,-59.7833,82.4,78,40,9.22,GY,scattered clouds
125,Inongo,-1.95,18.2667,78.3,71,40,3.38,CD,scattered clouds
126,Salalah,17.0151,54.0924,77.61,72,2,2.44,OM,clear sky
127,Vostok,46.4856,135.8833,30.4,86,89,5.82,RU,overcast clouds
128,Comodoro Rivadavia,-45.8667,-67.5,64.26,34,100,39.12,AR,dust
129,Victoria,22.2855,114.1577,66.38,73,78,10.0,HK,broken clouds
130,Lagoa,39.05,-27.9833,59.49,66,100,7.63,PT,overcast clouds
131,Japura,-0.3167,102.35,73.29,98,29,0.85,ID,scattered clouds
132,Baillif,16.0202,-61.7463,83.7,63,7,11.34,GP,clear sky
133,Barcelos,41.5388,-8.6151,59.14,42,100,4.81,PT,overcast clouds
134,Port Shepstone,-30.7414,30.455,75.97,82,85,10.11,ZA,overcast clouds
135,Fallon,39.4735,-118.7774,64.45,33,100,11.81,US,overcast clouds
136,Merauke,-8.4667,140.3333,77.76,87,52,5.64,ID,broken clouds
137,Airai,-8.9266,125.4092,58.5,92,69,1.39,TL,broken clouds
138,Sola,-13.8833,167.55,82.13,74,100,13.56,VU,overcast clouds
139,Pochutla,15.7432,-96.4661,88.83,37,0,11.95,MX,clear sky
140,Cabatuan,10.8794,122.486,77.32,84,100,9.78,PH,light rain
141,Ambilobe,-13.2,49.05,74.55,95,82,2.55,MG,light rain
142,Dawei,14.0833,98.2,73.56,60,100,5.75,MM,overcast clouds
143,Namibe,-15.1961,12.1522,69.78,81,73,8.57,AO,broken clouds
144,Itarema,-2.9248,-39.9167,82.29,79,65,11.81,BR,light rain
145,Hermanus,-34.4187,19.2345,62.8,81,12,14.18,ZA,light rain
146,Luba,3.4568,8.5547,82.06,81,81,6.38,GQ,broken clouds
147,Alofi,-19.0595,-169.9187,73.29,94,100,1.14,NU,overcast clouds
148,Dikson,73.5069,80.5464,-1.97,96,90,8.16,RU,overcast clouds
149,Mandalgovi,45.7625,106.2708,32.76,58,100,5.44,MN,overcast clouds
150,Vanavara,60.34,102.2797,-1.59,99,100,1.83,RU,overcast clouds
151,Turayf,31.6725,38.6637,70.05,16,0,11.5,SA,clear sky
152,Castro,-24.7911,-50.0119,72.03,88,100,7.52,BR,light rain
153,Kodiak,57.79,-152.4072,34.79,59,100,5.19,US,overcast clouds
154,Ganzhou,28.8184,115.4327,59.67,71,99,3.15,CN,light rain
155,Atar,20.5169,-13.0499,80.65,19,0,6.91,MR,clear sky
156,Holboca,47.15,27.7,43.9,54,0,1.14,RO,clear sky
157,Port Elizabeth,-33.918,25.5701,65.1,85,0,12.66,ZA,clear sky
158,Linguere,15.3953,-15.1193,93.42,31,0,6.91,SN,clear sky
159,Beringovskiy,63.05,179.3167,-7.28,89,100,12.68,RU,overcast clouds
160,Pyapon,16.2833,95.6833,78.6,69,100,3.83,MM,overcast clouds
161,Namatanai,-3.6667,152.4333,79.61,83,89,7.25,PG,light rain
162,Te Anau,-45.4167,167.7167,55.71,94,100,1.54,NZ,overcast clouds
163,Nome,64.5011,-165.4064,10.17,61,0,8.16,US,clear sky
164,Ganta,7.3022,-8.5308,71.49,98,100,1.05,LR,heavy intensity rain
165,Bluff,-46.6,168.3333,54.54,81,100,9.19,NZ,overcast clouds
166,Mitla,16.9167,-96.4,85.96,22,0,6.73,MX,clear sky
167,Lulea,65.5842,22.1547,24.87,63,0,4.61,SE,clear sky
168,Puro,12.4841,123.3827,78.85,88,99,12.28,PH,overcast clouds
169,Pacasmayo,-7.4006,-79.5714,75.07,71,37,14.0,PE,scattered clouds
170,Tazovskiy,67.4667,78.7,25.9,94,100,23.87,RU,light snow
171,Bressuire,46.9167,-0.5,42.96,64,100,9.75,FR,overcast clouds
172,Williamsburg,37.2707,-76.7075,63.91,40,0,4.0,US,clear sky
173,Port Alfred,-33.5906,26.891,62.19,87,0,4.0,ZA,clear sky
174,Tapes,-30.6733,-51.3958,69.96,87,94,8.77,BR,overcast clouds
175,Havelock,34.8791,-76.9013,64.98,49,40,3.0,US,scattered clouds
176,Dubbo,-32.25,148.6167,48.33,76,0,3.44,AU,clear sky
177,Riyadh,24.6877,46.7219,86.14,10,0,8.43,SA,clear sky
178,Ponta Do Sol,32.6667,-17.1,58.71,67,37,12.55,PT,scattered clouds
179,Saint-Augustin,51.226,-58.6502,32.97,99,100,1.99,CA,overcast clouds
180,Dafeng,23.4517,108.5881,64.04,61,5,2.17,CN,clear sky
181,Paonta Sahib,30.45,77.6167,75.11,12,100,6.67,IN,overcast clouds
182,Gurupa,-1.405,-51.64,80.64,84,92,2.44,BR,overcast clouds
183,Yatou,37.15,122.3833,45.07,75,100,13.13,CN,overcast clouds
184,Inirida,3.8653,-67.9239,86.11,69,55,1.28,CO,broken clouds
185,Altay,47.8667,88.1167,40.57,51,100,8.34,CN,overcast clouds
186,Bengkulu,-3.8004,102.2655,75.97,85,28,4.59,ID,scattered clouds
187,Uruguaiana,-29.7547,-57.0883,75.13,69,75,11.5,BR,broken clouds
188,Calvinia,-31.4707,19.776,53.76,77,52,6.46,ZA,broken clouds
189,Yankton,42.8711,-97.3973,54.12,46,0,10.36,US,clear sky
190,Sabana De Torres,7.3915,-73.4957,86.61,62,80,2.33,CO,broken clouds
191,Santiago,-33.4569,-70.6483,86.29,24,0,8.05,CL,clear sky
192,Coracora,-15.0333,-73.7833,58.71,61,91,8.61,PE,overcast clouds
193,Tautira,-17.7333,-149.15,81.63,79,87,16.67,PF,light rain
194,Bilma,18.6853,12.9164,90.73,6,6,8.63,NE,clear sky
195,Hambantota,6.1241,81.1185,75.54,100,40,4.61,LK,scattered clouds
196,Buin,-33.7333,-70.75,82.44,19,0,7.61,CL,clear sky
197,Palmer,42.1584,-72.3287,55.85,34,20,10.36,US,few clouds
198,Umm Kaddadah,13.6017,26.6876,86.83,11,39,8.08,SD,scattered clouds
199,Hervey Bay,-25.2986,152.8535,70.36,82,4,8.5,AU,light rain
200,Tamworth,52.634,-1.6959,55.72,87,100,8.01,GB,overcast clouds
201,Nelson Bay,-32.7167,152.15,61.0,92,0,9.01,AU,clear sky
202,Iqaluit,63.7506,-68.5145,11.93,72,75,23.02,CA,broken clouds
203,Bouna,9.2667,-3.0,84.7,50,77,4.74,CI,light rain
204,Mahibadhoo,3.7833,72.9667,83.48,64,6,1.45,MV,clear sky
205,Novikovo,51.1537,37.8879,32.83,75,70,7.02,RU,broken clouds
206,Tucurui,-3.7661,-49.6725,83.41,82,43,2.21,BR,scattered clouds
207,Pahrump,36.2083,-115.9839,77.25,12,91,4.0,US,overcast clouds
208,Sosnovo-Ozerskoye,52.5249,111.5418,7.36,84,9,6.46,RU,clear sky
209,Lakes Entrance,-37.8811,147.981,49.15,89,38,8.66,AU,scattered clouds
210,Tadine,-21.55,167.8833,78.24,85,100,9.53,NC,light rain
211,Alghero,40.5589,8.3181,53.69,66,0,9.22,IT,clear sky
212,College,64.8569,-147.8028,14.47,70,100,1.99,US,overcast clouds
213,Phangnga,8.4509,98.5298,78.84,94,100,4.25,TH,overcast clouds
214,Saldanha,-33.0117,17.9442,62.65,83,1,6.8,ZA,light rain
215,Komsomolskiy,40.4272,71.7189,61.52,51,0,9.22,UZ,clear sky
216,Necochea,-38.5473,-58.7368,65.14,41,0,12.26,AR,clear sky
